text,topic
Do you know what's wrong with the printer?,Business
Who do we call to report a problem with the printer?,Business
When is the printer going to be fixed?,Business
The printer next to the break room is broken. Where is the other printer?,Business
The copy machine is jammed again.,Business
The copy machine is broken.,Business
We need to get the copy machine fixed.,Business
A technician is coming this afternoon to fix the copy machine.,Business
Where is the paper for the copy machine?,Business
We need to order more paper. We're running low.,Business
Where is the mail room?,Business
I don't have a mail box. Who should I contact to get one?,Business
Your mail box was pretty full. You should go pick them up.,Business
I haven't checked my mail in 2 weeks.,Business
I never receive anything so I don't need to check my mail often.,Business
What time does the delivery person usually come?,Business
What time does the mail usually come?,Business
I can send it to you through Inter Office mail.,Business
I'll send it through Inter Office mail immediately.,Business
I'll IO it to you.,Business
I need those documents. Can you IO it to me?,Business
Would you like to pick them up or should I send it through Inter Office mail?,Business
I'm out of staples. Do we have any more in the supply room?,Business
The supply room is running low on pens. I think we should get more.,Business
My monitor is very old. It's a little blurry and it gives me a headache when I look at it for a long duration. Could I get a new monitor?,Business
My computer is too slow. It slows down my work. I would like a faster computer. It will increase my efficiency on many of my tasks.,Business
I would like an ergonomic keyboard. I can type much faster with those.,Business
Can I get a new chair? This one is so uncomfortable.,Business
Can you get me a headset for the telephone? I'm on the phone most of the day and I would like to free up my hands.,Business
How long are we allowed for lunch?,Business
How long is our lunch break?,Business
"If I only take a 30 minute lunch, can I leave 30 minutes earlier?",Business
What time should I report to work?,Business
Is there a strict policy on working hours?,Business
Are we allowed to start work an hour later if we work an hour more?,Business
What is the dress code here?,Business
Are we allowed to wear casual clothes on Friday?,Business
Does this company have the casual Friday thing?,Business
"If I have ten vacation days, am I allowed to use them all at once?",Business
What holidays do we have off?,Business
Do our vacation days expire?,Business
Does this company allow telecommuting?,Business
Are we allowed to work from home?,Business
I'm busy with work.,Business
Can I do this later?,Business
Does this have to be done now?,Business
When do you need this by?,Business
When is the deadline?,Business
I'm not going to have time for any other assignment until Thursday.,Business
I'll try to free up my schedule.,Business
I'm pretty sure I can meet the deadline.,Business
"If I don't get any help on this, I won't be able to complete it on time.",Business
I'll do whatever I can to make sure this is done on time.,Business
You can count on me.,Business
Have I ever let you down?,Business
Do you have a business card?,Business
Could I have one of your business cards?,Business
Can I have your business card?,Business
Can I get your phone number or email address?,Business
What is the best way to contact you?,Business
Can I get your contact information?,Business
Let me give you one of my business cards.,Business
My contact information is on my business card. Let me give you one.,Business
You can reach me by calling the number on my business card.,Business
My email address is on my business card.,Business
Do you know where the ABC file is at?,Business
Do you have the ABC file?,Business
Is anybody using the ABC file right now?,Business
Did you check the file cabinet? It should be there.,Business
Check the bin. Sometimes people throw it in there after they are done.,Business
Oh... it's on my desk. I forgot to put it back.,Business
It's in my office. I'll get it for you.,Business
Are you using this book right now?,Business
Can I borrow this book?,Business
Are you finished with this file?,Business
Are you done with this report?,Business
Can I use this file?,Business
Do you have an extra mouse? Mine broke.,Business
Do you have another network cable? The one I have is too short.,Business
Do you have a blank floppy disk I can have?,Business
I ran out of labels. Do you have any I can have?,Business
Can I borrow your stapler?,Business
Do you have a hole puncher?,Business
Do you have a staple remover by any chance?,Business
Sorry I'm late. Traffic was unusually bad today.,Business
I apologize for being late. I had to drop off my wife at work. It took longer than I thought.,Business
I had a dentist appointment this morning and it was longer than I expected.,Business
I'm sorry for being late. I got stuck in every light this morning.,Business
Running late this morning?,Business
What held you up this morning?,Business
Do you have a reason for being late?,Business
Why are you late?,Business
You have been late three times in the last two weeks. Is this going to be a continual problem?,Business
Your tardiness is getting out of hand. You had better start managing your morning time better.,Business
I expect you to be at your desk at eight o'clock. Do you have a problem with this?,Business
I am terribly sorry. It won't happen again.,Business
"I had a lot of recent changes at home, but it's all taken care of. I will not be late again.",Business
I'm really sorry. It's been one of those weeks. It won't happen again.,Business
"Hi Barbara, I'm going to be 30 minutes late today. My car is having trouble this morning, so I arranged for a ride with a friend.",Business
"Hey Jack, I'm running a little late today. I just got out of my dentist appointment and it was longer than I expected.",Business
Mark? This is Pat. I'm stuck in traffic. I think there is an accident that is holding up traffic. I'm going to be a little late.,Business
I have a doctor's appointment tomorrow morning. Remember I told you earlier this week? I'll come in right after my appointment.,Business
"My daughter has been sick, so I'm going to take her to see the doctor tomorrow morning. Is it ok if I'm a little late? My appointment is at seven in the morning, so I'll only be an hour late.",Business
"I have to take my parents to the airport tomorrow. I shouldn't be too late, but wanted to tell you ahead of time.",Business
I have to leave a little early today. Is it ok if I finish my work at home?,Business
