text,topic
I would like to confirm my flight.,Travel
Can I get your ticket number?,Travel
The number is 45-6-43.,Travel
You are scheduled to depart on June 15th at 1:00 pm. Is this correct?,Travel
Yes it is.,Travel
Is anybody else traveling with you?,Travel
"Yes, my wife.",Travel
Can I have the other ticket number?,Travel
It is 45-6-44.,Travel
Your tickets have been confirmed. Please arrive at the airport 3 hours before your flight departs. Thank you for calling.,Travel
Would you like to book your seats now?,Travel
Would you like a window seat or an aisle seat?,Travel
What is your ticket number?,Travel
What is your last name?,Travel
What is your first name?,Travel
I have an open ended ticket and I would like to schedule a departure date.,Travel
I have a ticket and I need to schedule a departure date.,Travel
I am scheduled to depart on June 15th. Can I change this to a later date?,Travel
I have a ticket to depart on June 15th. I would like to see if there is an earlier flight available.,Travel
What date would you like to depart?,Travel
What date would you like to change it to?,Travel
When do you want to depart?,Travel
I would like to leave on June 22nd.,Travel
Is June 22nd available?,Travel
Can you check if June 22nd is possible?,Travel
I was hoping to reserve a seat for June 22nd.,Travel
Yes. We have seats available for the 22nd. Would you like me to reserve them?,Travel
"On the 22nd, the departure time is 1:00pm. Should I reserve them?",Travel
We have two flights departing on that date. Would you like to depart at 10am or 7pm?,Travel
"I'm sorry, but we do not have any available seats on the 22nd. Should I put you on the waiting list?",Travel
"I'm sorry, there are no departures for the 22nd. We have a flight leaving on the 21st and the 24th. Will either of these days work for you?",Travel
The 22nd is full. The next available flight is on the 23rd. Would you like me to reserve a seat on that date?,Travel
Is anybody traveling with you today?,Travel
Is anybody else traveling with you?,Travel
Are just you two traveling today?,Travel
Did someone you do not know ask you to take something on the plane with you?,Travel
Did you have possession of your luggage since you packed?,Travel
Did you leave your luggage unattended at all in the airport?,Travel
Are you carrying any weapons or firearms?,Travel
Are you carrying any flammable material?,Travel
Do you have any perishable food items?,Travel
How many pieces of luggage are you checking in?,Travel
Do you have a carry on?,Travel
Can you place your bag up here?,Travel
How many carry on bags are you taking with you?,Travel
Do you prefer window or aisle?,Travel
We do not have any aisle seats remaining. Is a window seat ok with you or would you prefer a middle seat?,Travel
Do you have a seat next to the emergency exit?,Travel
Can I have a seat closest to the emergency exit?,Travel
All the seats next to the exit have been taken. I have a seat directly in front of it. Would you like that one?,Travel
Here are your tickets. The gate number is on the bottom of the ticket. They will start boarding 20 minutes before the departure time. You should report to gate C2 by then. C2 is around the corner and down the hall. Thank you.,Travel
Which gate did you say it was?,Travel
What was the gate number again?,Travel
Can you point me towards the gate?,Travel
How do I get to the gate again?,Travel
How do I get to gate C2?,Travel
Where is gate C2?,Travel
where is the rental car booth?,Travel
where can I rent a car?,Travel
Hi. I would like to rent a car.,Travel
Do you have any cars available?,Travel
Did you make a reservation?,Travel
"I'm sorry, we do not have any cars available today.",Travel
What size car would you like?,Travel
What type of car would you like?,Travel
What type of car do you need?,Travel
What sizes do you have?,Travel
What are my options?,Travel
"We have compact, midsize, full size, luxury, SUV, and a minivan.",Travel
How much is the full size car?,Travel
How much is the midsize car?,Travel
How many does the full size car seat?,Travel
How many can fit in the midsize car?,Travel
I'll take a midsize car.,Travel
How long will you be needing the car?,Travel
How long will you be renting the car?,Travel
When do you need the car till?,Travel
I'll need the car for two weeks.,Travel
I want to rent it for one week.,Travel
I need it for 4 days.,Travel
I need it for just a day.,Travel
What is your last name?,Travel
What is your first name?,Travel
Are you a United States resident?,Travel
What country are you from?,Travel
What is your address?,Travel
Would you like insurance on the car?,Travel
How much is insurance?,Travel
Who is going to be the driver?,Travel
How many people are going to drive?,Travel
Are all the drivers at least 25 years old?,Travel
Can I see your driver's license?,Travel
